id_Prov_Mun,Municipio,Región
6.7,Adolfo Alsina,Región I
6.14,Adolfo Gonzáles Chaves,Región I
6.56,Bahía Blanca,Región I
6.182,Coronel de Marina Leonardo Rosales,Región I
6.189,Coronel Dorrego,Región I
6.196,Coronel Pringles,Región I
6.203,Coronel Suárez,Región I
6.399,Guaminí,Región I
6.553,Monte Hermoso,Región I
6.602,Patagones,Región I
6.651,Puán,Región I
6.700,Saavedra,Región I
6.819,Tornquist,Región I
6.833,Tres Arroyos,Región I
6.875,Villarino,Región I
6.588,9 de julio,Región II
6.147,Carlos Casares,Región II
6.154,Carlos Tejedor,Región II
6.231,Daireaux,Región II
6.392,General Villegas,Región II
6.406,Hipólito Yrigoyen,Región II
6.609,Pehuajó,Región II
6.616,Pellegrini,Región II
6.679,Rivadavia,Región II
6.721,Salliqueló,Región II
6.826,Trenque Lauquen,Región II
6.847,Tres Lomas,Región II
6.210,Chacabuco,Región III
6.277,Florentino Ameghino,Región III
6.294,General Arenales,Región III
6.351,General Pinto,Región III
6.385,General Viamonte,Región III
6.413,Junín,Región III
6.462,Leandro N. Alem,Región III
6.469,Lincoln,Región III
6.77,Arrecifes,Región IV
6.70,Baradero,Región IV
6.140,Capitán Sarmiento,Región IV
6.161,Carmen de Areco,Región IV
6.175,Colón,Región IV
6.623,Pergamino,Región IV
6.665,Ramallo,Región IV
6.686,Rojas,Región IV
6.714,Salto,Región IV
6.728,San Andrés de Giles,Región IV
6.735,San Antonio de Areco,Región IV
6.763,San Nicolás de los Arroyos,Región IV
6.770,San Pedro,Región IV
6.126,Campana,Región V
6.252,Escobar,Región V
6.266,Exaltación de la Cruz,Región V
6.371,General San Martín,Región V
6.412,José C. Paz,Región V
6.515,Malvinas Argentinas,Región V
6.638,Pilar,Región V
6.749,San Fernando,Región V
6.756,San Isidro,Región V
6.760,San Miguel,Región V
6.805,Tigre,Región V
6.861,Vicente López,Región V
6.882,Zárate,Región V
6.28,Almirante Brown,Región VI
6.35,Avellaneda,Región VI
6.91,Berazategui,Región VI
6.260,Esteban Echeverría,Región VI
6.270,Ezeiza,Región VI
6.274,Florencio Varela,Región VI
6.434,Lanús,Región VI
6.490,Lomas de Zamora,Región VI
6.658,Quilmes,Región VI
6.329,General Las Heras,Región VII
6.364,General Rodríguez,Región VII
6.408,Hurlingham,Región VII
6.410,Ituzaingó,Región VII
6.497,Luján,Región VII
6.525,Marcos Paz,Región VII
6.539,Merlo,Región VII
6.560,Moreno,Región VII
6.568,Morón,Región VII
6.840,Tres de Febrero,Región VII
6.42,Ayacucho,Región VIII
6.63,Balcarce,Región VIII
6.280,General Alvarado,Región VIII
6.308,General Guido,Región VIII
6.315,General Juan Madariaga,Región VIII
6.336,General Lavalle,Región VIII
6.357,General Pueyrredón,Región VIII
6.420,La Costa,Región VIII
6.476,Lobería,Región VIII
6.511,Maipú,Región VIII
6.518,Mar Chiquita,Región VIII
6.581,Necochea,Región VIII
6.644,Pinamar,Región VIII
6.742,San Cayetano,Región VIII
6.791,Tandil,Región VIII
6.868,Villa Gesell,Región VIII
6.49,Azul,Región IX
6.84,Benito Juárez,Región IX
6.105,Bolívar,Región IX
6.287,General Alvear,Región IX
6.322,General La Madrid,Región IX
6.448,Laprida,Región IX
6.455,Las Flores,Región IX
6.595,Olavarría,Región IX
6.672,Rauch,Región IX
6.798,Tapalqué,Región IX
6.854,25 de mayo,Región X
6.21,Alberti,Región X
6.112,Bragado,Región X
6.224,Chivilcoy,Región X
6.483,Lobos,Región X
6.532,Mercedes,Región X
6.574,Navarro,Región X
6.693,Roque Pérez,Región X
6.707,Saladillo,Región X
6.784,Suipacha,Región X
6.98,Berisso,Región XI
6.119,Brandsen,Región XI
6.134,Cañuelas,Región XI
6.168,Castelli,Región XI
6.217,Chascomús,Región XI
6.238,Dolores,Región XI
6.245,Ensenada,Región XI
6.301,General Belgrano,Región XI
6.343,General Paz,Región XI
6.441,La Plata,Región XI
6.466,Lezama,Región XI
6.505,Magdalena,Región XI
6.547,Monte,Región XI
6.630,Pila,Región XI
6.648,Presidente Perón,Región XI
6.655,Punta Indio,Región XI
6.778,San Vicente,Región XI
6.812,Tordillo,Región XI
6.427,La Matanza,Región XII